publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Ace,Ilona Andrews,NA,9.78E+12,8/18/13,by Ilona Andrews,MAGIC RISES,1
Harlequin,Gena Showalter,1460316495,9.78E+12,8/18/13,by Gena Showalter,THE DARKEST CRAVING,1
Minotaur,C  J Box,NA,9.78E+12,8/18/13,by C.  J. Box,THE HIGHWAY,1
Simon & Schuster,James Lee Burke,NA,9.78E+12,8/11/13,by James Lee Burke,LIGHT OF THE WORLD,1
Touchstone,Philippa Gregory,1451626150,9.78E+12,8/11/13,by Philippa Gregory,THE WHITE PRINCESS,1
HTJB,Marie Force,None,9.78E+12,8/11/13,by Marie Force,TIME FOR LOVE,1
St. Martin's,Iris Johansen,125002000X,9.78E+12,8/4/13,by Iris Johansen,HUNTING EVE,1
Ecila Media,Shayla Black and others,None,A00B00DLC26OM,8/4/13,by Shayla Black and others,ALPHA BAD BOYS,1
Ballantine,Debbie Macomber,None,9.78E+12,8/4/13,by Debbie Macomber,LOST AND FOUND IN CEDAR COVE,1
Holt,Sue Grafton,1429901349,9.78E+12,7/28/13,by Sue Grafton,A IS FOR ALIBI,1
Atria,Colleen Hoover,None,9.78E+12,7/28/13,by Colleen Hoover,LOSING HOPE,1
Gallery Books,Christina Lauren,1476751722,9.78E+12,7/28/13,by Christina Lauren,BEAUTIFUL BITCH,1
Novelty Books,"Tanya Anne Cros, Danelle Harmon, Lauren Royal and Cynthia Wright",None,9.78E+12,7/28/13,"by Tanya Anne Crosby, Danelle Harmon, Lauren Royal and Cynthia Wright",FOUR IRRESISTIBLE ROGUES,1
Grand Central,Jodi Ellen Malpas,1455578355,9.78E+12,7/21/13,by Jodi Ellen Malpas,THIS MAN CONFESSED,1
Berkley,Laurell K Hamilton,None,9.78E+12,7/21/13,by Laurell K. Hamilton,AFFLICTION,1
Delacorte,Karin Slaughter,None,9.78E+12,7/21/13,by Karin Slaughter,UNSEEN,1
Gallery Books,Kresley Cole,1476713359,9.78E+12,7/21/13,by Kresley Cole,MACRIEVE,1
Morrow/HarperCollins,James Rollins,62194917,9.78E+12,7/14/13,by James Rollins,THE EYE OF GOD,1
Harlequin,Susan Mallery,1460315154,9.78E+12,7/14/13,by Susan Mallery,TWO OF A KIND,1
Berkley,Maya Banks,None,9.78E+12,7/14/13,by Maya Banks,FORGED IN STEELE,1
Dutton,Tami Hoag,None,9.78E+12,7/7/13,by Tami Hoag,THE 9TH GIRL,1
Ballantine,Steve Berry,345526562,9.78E+12,6/30/13,by Steve Berry,THE KING'S DECEPTION,1
St. Martin's,Mary Kay Andrews,NA,9.78E+12,6/23/13,by Mary Kay Andrews,LADIES' NIGHT,1
Bantam,Dean Koontz,345535693,9.78E+12,6/16/13,by Dean Koontz,DEEPLY ODD,1
Forever,Jessica Sorensen,None,9.78E+12,6/16/13,by Jessica Sorensen,THE FOREVER OF ELLA AND MICHA,1
Jove,Christine Feehan,None,9.78E+12,6/16/13,by Christine Feehan,LEOPARD'S PREY,1
Amy Harmon,Amy Harmon,None,A00B00C2GEJT8,6/16/13,by Amy Harmon,A DIFFERENT BLUE,1
Pocket Star,Kyra Davis,None,9.78E+12,6/9/13,by Kyra Davis,BINDING AGREEMENT,1
Omnific,Emma Chase,None,9.78E+12,6/9/13,by Emma Chase,TANGLED,1
Atria,Raine Miller,None,9.78E+12,6/2/13,by Raine Miller,EYES WIDE OPEN,1
Laree Bailey,HM Ward,None,A00B00CR43UXG,6/2/13,by H.M. Ward,THE ARRANGEMENT 7,1
Zebra,Lisa Jackson,1420106341,9.78E+12,6/2/13,by Lisa Jackson,LEFT TO DIE,1
Simon & Schuster,Richard Paul Evans,1451628293,9.78E+12,5/26/13,by Richard Paul Evans,A STEP OF FAITH,1
Sourcebooks Landmark,Judith Merkle Riley,NA,9.78E+12,5/26/13,by Judith Merkle Riley,THE ORACLE GLASS,1
Viking,John le Carre,670014893,9.78E+12,5/26/13,by John le Carre,A DELICATE TRUTH,1
NAL,Samantha Young,None,9.78E+12,5/26/13,by  Samantha Young,DOWN LONDON ROAD,1
Houghton Mifflin Harcourt,Ann Patchett,547548796,9.78E+12,5/26/13,by Ann Patchett,THE MAGICIAN'S ASSISTANT,1
Harlequin Mira,Sherryl Woods,None,9.78E+12,5/19/13,by Sherryl Woods,WIND CHIME POINT,1
Ellora's Cave,Laurann Dohner,None,9.78E+12,5/19/13,by Laurann Dohner,MOON,1
HarperCollins,John Irving,62204106,9.78E+12,5/19/13,by John Irving,A PRAYER FOR OWEN MEANY,1
Atria,Colleen Hoover,1476746540,9.78E+12,5/19/13,by Colleen Hoover,THIS GIRL,1
Harlequin,Susan Mallery,None,9.78E+12,5/19/13,by  Susan Mallery,HALFWAY THERE,1
Bantam,J Kenner,None,9.78E+12,5/12/13,by J. Kenner,CLAIM ME,1
Dial,Sophie Kinsella,812993853,9.78E+12,5/12/13,by Sophie Kinsella,WEDDING NIGHT,1
Putnam,Amanda Quick,None,9.78E+12,5/12/13,by Amanda Quick,THE MYSTERY WOMAN,1
Doubleday,Edward Rutherfurd,385535317,9.78E+12,5/12/13,by Edward Rutherfurd,PARIS,1
St. Martin's,Iris Johansen,1250019974,9.78E+12,5/5/13,by Iris Johansen,TAKING EVE,1
Gallery Books,Christina Lauren,1476731543,9.78E+12,5/5/13,by Christina Lauren,BEAUTIFUL STRANGER,1
"Mulholland/Little, Brown",Michael Robotham,316221252,9.78E+12,5/5/13,by Michael Robotham,SAY YOU'RE SORRY,1
St. Martin's Press,Lisa Scottoline,NA,9.78E+12,4/28/13,by Lisa Scottoline,DON'T GO,1
Sourcebooks,Susanna Kearsley,NA,9.78E+12,4/28/13,by Susanna Kearsley,THE SHADOWY HORSES,1
Random House Publishing,Debbie Macomber,345533534,9.78E+12,4/21/13,by Debbie Macomber,STARTING NOW,1
The Indie Voice,Jana DeLeon and others,None,9.78E+12,4/21/13,by Jana DeLeon and others,TO DIE FOR,1
Grand Central Publishing,Kristen Ashley,None,9.78E+12,4/21/13,by Kristen Ashley,OWN THE WIND,1
Katie Ashley,Katie Ashley,None,A00B00C0X6LG2,4/21/13,by Katie Ashley,MUSIC OF THE HEART,1
HarperCollins Publishers,Jeaniene Frost,62075837,9.78E+12,4/14/13,by Jeaniene Frost,TWICE TEMPTED,1
Harlequin,Sherryl Woods,None,9.78E+12,4/14/13,by Sherryl Woods,SAND CASTLE BAY,1
HarperCollins Publishers,Jacqueline Winspear,NA,9.78E+12,4/14/13,by Jacqueline Winspear,LEAVING EVERYTHING MOST LOVED,1
HarperCollins Publishers,Stephanie Laurens,None,9.78E+12,4/14/13,by Stephanie Laurens,AND THEN SHE FELL,1
Simon & Schuster,Kyra Davis,None,9.78E+12,4/7/13,by Kyra Davis,EXPOSED,1
Grand Central Publishing,Jean Hanff Korelitz,446557633,9.78E+12,4/7/13,by Jean Hanff Korelitz,ADMISSION,1
HarperCollins Publishers,Eloisa James,None,9.78E+12,4/7/13,by Eloisa James,WITH THIS KISS,1
Random House Publishing,Maya Banks,345538897,9.78E+12,4/7/13,by Maya Banks,HIGHLANDER MOST WANTED,1
Penguin Group,C J Box,None,9.78E+12,3/31/13,by C. J. Box,BREAKING POINT,1
Abbi Glines,Abbi Glines,None,A00B00BLBK1QK,3/31/13,by Abbi Glines,NEVER TOO FAR,1
Random House Publishing,Terry Brooks,None,9.78E+12,3/31/13,by Terry Brooks,BLOODFIRE QUEST,1
Simon & Schuster,S C Stephens,1476718210,9.78E+12,3/24/13,by S. C. Stephens,RECKLESS,1
Penguin Group,Patricia Briggs,None,9.78E+12,3/24/13,by Patricia Briggs,FROST BURNED,1
Penguin Group,Clive Cussler and Justin Scott,None,9.78E+12,3/24/13,by Clive Cussler and Justin Scott,THE STRIKER,1
Howard Books,Karen Kingsbury,1451647042,9.78E+12,3/24/13,by Karen Kingsbury,THE CHANCE,1
Tyndale House Publishers,Joel C Rosenberg,1414381859,9.78E+12,3/24/13,by Joel C. Rosenberg,DAMASCUS COUNTDOWN,1
HarperCollins Publishers,Lynsay Sands,62078127,9.78E+12,3/17/13,by Lynsay Sands,IMMORTAL EVER AFTER,1
Marie Force,Marie Force,985034157,9.78E+12,3/10/13,by Marie Force,WAITING FOR LOVE,1
Shanora Williams,Shanora Williams,None,A00B00BEQP450,3/10/13,by Shanora Williams,HARD TO RESIST,1
St. Martin's Press,Jackie Collins,1250011019,9.78E+12,3/3/13,by Jackie Collins,THE POWER TRIP,1
St. Martin's Press,Lisa Kleypas,None,9.78E+12,2/24/13,by Lisa Kleypas,CRYSTAL COVE,1
HarperCollins Publishers,Kim Harrison,None,9.78E+12,2/10/13,by Kim Harrison,EVER AFTER,1
Simon & Schuster,Stephen Hunter,NA,9.78E+12,2/3/13,by Stephen Hunter,THE THIRD BULLET,1
Penguin Group,Stuart Woods,None,9.78E+12,1/27/13,by Stuart Woods,COLLATERAL DAMAGE,1
Penguin Group,Jayne Ann Krentz,None,9.78E+12,1/27/13,by Jayne Ann Krentz,DREAM EYES,1
St. Martin's Press,Janet Evanovich and Dorien Kelly,None,9.78E+12,1/27/13,by Janet Evanovich and Dorien Kelly,THE HUSBAND LIST,1
Penguin Group,Maya Banks,None,9.78E+12,1/20/13,by Maya Banks,SHADES OF GRAY,1
Random House Publishing,Linda Howard,NA,9.78E+12,1/20/13,by Linda Howard,SHADOW WOMAN,1
Penguin Group,W E B Griffin and William E Butterworth IV,NA,9.78E+12,1/20/13,by W. E. B. Griffin and William E. Butterworth IV,EMPIRE AND HONOR,1
Grand Central Publishing,Douglas Preston and Lincoln Child,145551053X,9.78E+12,12/30/12,by Douglas Preston and Lincoln Child,TWO GRAVES,1
Random House Publishing,Diana Gabaldon,345545370,9.78E+12,12/23/12,by Diana Gabaldon,A LEAF ON THE WIND OF ALL HALLOWS,1
Pocket Books,Kresley Cole,None,9.78E+12,12/16/12,by Kresley Cole,SHADOW’S CLAIM,1
Pocket Books,Kresley Cole,None,9.78E+12,12/16/12,by Kresley Cole,SHADOW�۪S CLAIM,1
Knopf Doubleday Publishing,Ian McEwan,385536836,9.78E+12,12/2/12,by Ian McEwan,SWEET TOOTH,1
Simon & Schuster,Jennifer Probst,1476717532,9.78E+12,11/25/12,by Jennifer Probst,THE MARRIAGE MISTAKE,1
Grand Central Publishing,Nelson DeMille,759528330,9.78E+12,11/25/12,by Nelson DeMille,PLUM ISLAND,1
Random House Publishing,Karen Marie Moning,NA,9.78E+12,11/18/12,by Karen Marie Moning,ICED,1
Penguin Group,Sarah Jio,None,9.78E+12,11/18/12,by  Sarah Jio,BLACKBERRY WINTER,1
Harlequin,Ron Carr,1459244370,9.78E+12,11/11/12,by Robyn Carr,MY KIND OF CHRISTMAS,1
Howard Books,Karen Kingsbury,1451647026,9.78E+12,11/11/12,by Karen Kingsbury,THE BRIDGE,1
"Little, Brown & Company",Tom Wolfe,316214582,9.78E+12,11/11/12,by Tom Wolfe,BACK TO BLOOD,1
Random House Publishing,Justin Cronin,345534891,9.78E+12,11/4/12,by Justin Cronin,THE TWELVE,1
Simon & Schuster,Kate Morton,143916309X,9.78E+12,11/4/12,by Kate Morton,THE SECRET KEEPER,1
St. Martin's Press,Iris Johansen,None,9.78E+12,11/4/12,by Iris Johansen,SLEEP NO MORE,1
New American Library,JR Ward,None,9.78E+12,10/14/12,by J.R. Ward,RAPTURE,1
Harlequin,Susan Mallery,145924124X,9.78E+12,10/14/12,by Susan Mallery,A FOOL'S GOLD CHRISTMAS,1
Random House Publishing,H P Mallory,345531590,9.78E+12,10/14/12,by H. P. Mallory,SOMETHING WITCHY THIS WAY COMES,1
Penguin Group,Beth Kery,None,9.78E+12,10/7/12,by Beth Kery,"BECAUSE YOU ARE MINE, PART VIII",1
Hyperion Press,Richard Castle,1401304729,9.78E+12,9/30/12,by Richard Castle,FROZEN HEAT,1
HarperCollins Publishers,Michael Chabon,61493341,9.78E+12,9/30/12,by Michael Chabon,TELEGRAPH AVENUE,1
Simon & Schuster,Tina Reber,1476718989,9.78E+12,9/30/12,by Tina Reber,LOVE UNREHEARSED,1
Penguin Group,Junot Díaz,1594487367,9.78E+12,9/30/12,by Junot Díaz,THIS IS HOW YOU LOSE HER,1
Penguin Group,Junot D�_az,1594487367,9.78E+12,9/30/12,by Junot D�_az,THIS IS HOW YOU LOSE HER,1
Penguin Group,Jayne Castle,None,9.78E+12,9/23/12,by Jayne Castle,THE LOST NIGHT,1
Penguin Group,Sylvain Reynard,None,9.78E+12,9/23/12,by Sylvain Reynard,GABRIEL’S INFERNO,1
Penguin Group,Beth Kery,None,9.78E+12,9/23/12,by  Beth Kery,"BECAUSE YOU ARE MINE, PART VI",1
Penguin Group,Sylvain Reynard,None,9.78E+12,9/23/12,by Sylvain Reynard,GABRIEL�۪S INFERNO,1
St. Martin's Press,Louise Penny,1250015278,9.78E+12,9/16/12,by Louise Penny,THE BEAUTIFUL MYSTERY,1
HarperCollins Publishers,Eloisa James,None,9.78E+12,9/16/12,by Eloisa James,THE UGLY DUCHESS,1
Ellora's Cave,Laurann Dohner,None,9.78E+12,9/16/12,by Laurann Dohner,OBSIDIAN,1
Harlequin,Sherryl Woods,None,9.78E+12,9/16/12,by Sherryl Woods,WHERE AZALEAS BLOOM,1
Random House Publishing,Terry Brooks,345523490,9.78E+12,9/9/12,by Terry Brooks,WARDS OF FAERIE,1
Simon & Schuster,Philippa Gregory,1451626142,9.78E+12,9/2/12,by Philippa Gregory,THE KINGMAKER’S DAUGHTER,1
Simon & Schuster,Philippa Gregory,1451626142,9.78E+12,9/2/12,by Philippa Gregory,THE KINGMAKER�۪S DAUGHTER,1
Penguin Group,Julie Garwood,NA,9.78E+12,8/26/12,by Julie Garwood,SWEET TALK,1
Penguin Group,Lora Leigh,None,9.78E+12,8/26/12,by Lora Leigh,STYGIAN'S HONOR,1
St. Martin's Press,Sherrilyn Kenyon,None,9.78E+12,8/26/12,by Sherrilyn Kenyon,TIME UNTIME,1
St. Martin's Press,Lisa Kleypas,1250014271,9.78E+12,8/26/12,by Lisa Kleypas,DREAM LAKE,1
Kensington Publishing,Lisa Jackson,758279590,9.78E+12,8/26/12,by Lisa Jackson,YOU DON’T WANT TO KNOW,1
Kensington Publishing,Lisa Jackson,758279590,9.78E+12,8/26/12,by Lisa Jackson,YOU DON�۪T WANT TO KNOW,1
Harlequin,Susan Mallery,1459234537,9.78E+12,8/19/12,by Susan Mallery,ALL SUMMER LONG,1
Harlequin,Linda Lael Miller,None,9.78E+12,8/19/12,by Linda Lael Miller,BIG SKY MOUNTAIN,1
Penguin Group,Tana French,NA,9.78E+12,8/12/12,by Tana French,BROKEN HARBOR,1
HarperCollins Publishers,J A Jance,62132385,9.78E+12,8/12/12,by J. A. Jance,JUDGMENT CALL,1
Simon & Schuster,James Lee Burke,1451648154,9.78E+12,8/5/12,by James Lee Burke,CREOLE BELLE,1
HarperCollins Publishers,Susan Elizabeth Phillips,62106104,9.78E+12,7/29/12,by Susan Elizabeth Phillips,THE GREAT ESCAPE,1
Penguin Group,Laura Moriarty,NA,9.78E+12,7/29/12,by Laura Moriarty,THE CHAPERONE,1
Penguin Group,Christine Feehan,None,9.78E+12,7/22/12,by Christine Feehan,SAMURAI GAME,1
Berkley,Maya Banks,None,9.78E+12,7/22/12,by Maya Banks,ECHOES AT DAWN,1
Zondervan,Karen Kingsbury,310333644,9.78E+12,7/15/12,by Karen Kingsbury,COMING HOME,1
HarperCollins Publishers,Jeaniene Frost,62096273,9.78E+12,7/15/12,by Jeaniene Frost,ONCE BURNED,1
Harlequin,Susan Mallery,1459233174,9.78E+12,7/15/12,by Susan Mallery,SUMMER NIGHTS,1
Random House Publishing,Dean Koontz,None,9.78E+12,7/15/12,by Dean Koontz,ODD INTERLUDE #3,1
Random House Publishing,Dean Koontz,345536770,9.78E+12,7/8/12,by Dean Koontz,ODD INTERLUDE #2,1
Random House Publishing,Alan Furst,679604227,9.78E+12,7/1/12,by Alan Furst,MISSION TO PARIS,1
HarperCollins Publishers,Dorothea Benton Frank,62194860,9.78E+12,7/1/12,by Dorothea Benton Frank,PORCH LIGHTS,1
Penguin Group,Laurell K Hamilton,None,9.78E+12,6/24/12,by Laurell K. Hamilton,KISS THE DEAD,1
St. Martin’s Press,Mary Kay Andrews,1466802634,9.78E+12,6/24/12,by Mary Kay Andrews,SPRING FEVER,1
HarperCollins Publishers,Julia Quinn,62072919,9.78E+12,6/17/12,by Julia Quinn,A NIGHT LIKE THIS,1
HarperCollins Publishers,Rachel Gibson,62069136,9.78E+12,6/17/12,by Rachel Gibson,RESCUE ME,1
Harlequin,Susan Mallery,1459230051,9.78E+12,6/17/12,by Susan Mallery,SUMMER DAYS,1
Harlequin,Linda Lael Miller,1459230043,9.78E+12,6/17/12,by Linda Lael Miller,BIG SKY COUNTRY,1
Henry Holt & Company,Hilary Mantel,805090037,9.78E+12,5/27/12,by Hilary Mantel,BRING UP THE BODIES,1
Simon & Schuster,Richard Paul Evans,1451628188,9.78E+12,5/27/12,by Richard Paul Evans,THE ROAD TO GRACE,1
Putnam,Amanda Quick,None,9.78E+12,5/13/12,by Amanda Quick,CRYSTAL GARDENS,1
HarperCollins Publishers,Lynsay Sands,62119370,9.78E+12,5/13/12,by Lynsay Sands,UNDER A VAMPIRE MOON,1
Penguin Group,Stuart Woods,NA,9.78E+12,5/6/12,by Stuart Woods,UNNATURAL ACTS,1
St. Martin’s Press,Iris Johansen,1429952938,9.78E+12,5/6/12,by Iris Johansen,WHAT DOESN'T KILL YOU,1
St. Martin’s Press,Lisa Scottoline,1429942320,9.78E+12,4/29/12,by Lisa Scottoline,COME HOME,1
Ellora’s Cave Publishing,Laurann Dohner,None,9.78E+12,4/29/12,by Laurann Dohner,TIGER,1
HarperCollins Publishers,Christopher Moore,61779741,9.78E+12,4/22/12,by Christopher Moore,SACRÉ BLEU,1
Knopf Doubleday Publishing,Alexander McCall Smith,307378403,9.78E+12,4/22/12,by Alexander McCall Smith,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,1
HarperCollins Publishers,Adriana Trigiani,62098063,9.78E+12,4/22/12,by Adriana Trigiani,THE SHOEMAKER’S WIFE,1
HarperCollins Publishers,Christopher Moore,61779741,9.78E+12,4/22/12,by Christopher Moore,SACR�� BLEU,1
HarperCollins Publishers,Adriana Trigiani,62098063,9.78E+12,4/22/12,by Adriana Trigiani,THE SHOEMAKER�۪S WIFE,1
Zondervan,Karen Kingsbury,310427592,9.78E+12,4/15/12,by Karen Kingsbury,LOVING,1
Harlequin,Lori Foster,1459225651,9.78E+12,4/15/12,by Lori Foster,A PERFECT STORM,1
Penguin Group,C J Box,None,9.78E+12,4/8/12,by C. J. Box,FORCE OF NATURE,1
Random House Publishing,Troy Denning,345509226,9.78E+12,4/1/12,by Troy Denning,FATE OF THE JEDI: APOCALYPSE,1
Crown Publishing,Chris Pavone,None,9.78E+12,4/1/12,by Chris Pavone,THE EXPATS,1
Penguin Group,Patricia Briggs,NA,9.78E+12,3/25/12,by Patricia Briggs,FAIR GAME,1
Ellora’s Cave,Laurann Dohner,None,9.78E+12,3/25/12,by Laurann Dohner,WRATH,1
Harlequin,Gena Showalter,1459222830,9.78E+12,3/18/12,by Gena Showalter,THE DARKEST SEDUCTION,1
St. Martin’s Press,Lisa Kleypas,1429938374,9.78E+12,3/18/12,by Lisa Kleypas,RAINSHADOW ROAD,1
HarperCollins Publishers,Kim Harrison,62101021,9.78E+12,3/11/12,by Kim Harrison,A PERFECT BLOOD,1
Simon & Schuster,J A Jance,1451628625,9.78E+12,2/26/12,by J. A. Jance,LEFT FOR DEAD,1
HarperCollins Publishers,Stephanie Laurens,62066226,9.78E+12,2/19/12,by Stephanie Laurens,THE CAPTURE OF THE EARL OF GLENCRAE,1
Random House Publishing,Lara Adrian,345529294,9.78E+12,2/12/12,by Lara Adrian,DARKER AFTER MIDNIGHT,1
Pocket Books,Sabrina Jeffries,1451642490,9.78E+12,2/12/12,by Sabrina Jeffries,A LADY NEVER SURRENDERS,1
"Little, Brown & Company",George Pelecanos,316209554,9.78E+12,2/12/12,by George Pelecanos,WHAT IT WAS,1
HarperCollins Publishers,Jennifer McMahon,61807583,9.78E+12,2/5/12,by Jennifer McMahon,ISLAND OF LOST GIRLS,1
HarperCollins Publishers,Bernard Cornwell,62097113,9.78E+12,2/5/12,by Bernard Cornwell,DEATH OF KINGS,1
St. Martin's Press,Nevada Barr,1429951133,9.78E+12,2/5/12,by Nevada Barr,THE ROPE,1
Simon & Schuster,Kresley Cole,1439177023,9.78E+12,1/29/12,by Kresley Cole,LOTHAIRE,1
Dutton,Lisa Gardner,None,9.78E+12,1/29/12,by Lisa Gardner,THE 7TH MONTH,1
Penguin Group,Jayne Ann Krentz,NA,9.78E+12,1/29/12,by Jayne Ann Krentz,COPPER BEACH,1
Grand Central Publishing,Douglas Preston and Lincoln Child,446564354,9.78E+12,1/29/12,by Douglas Preston and Lincoln Child,GIDEON’S CORPSE,1
Harlequin,Ron Carr,None,9.78E+12,1/15/12,by Robyn Carr,HIDDEN SUMMIT,1
Penguin Group,Christine Feehan,None,9.78E+12,1/15/12,by Christine Feehan,SPIRIT BOUND,1
Penguin Group,Lora Leigh,None,9.78E+12,12/25/11,by Lora Leigh,LAWE'S JUSTICE,1
HarperCollins Publishers,Garth Stein,61738093,9.78E+12,12/18/11,by Garth Stein,THE ART OF RACING IN THE RAIN,1
Zondervan,Karen Kingsbury,None,9.78E+12,12/11/11,by Karen Kingsbury,LONGING,1
Random House Publishing,Drew Karpyshyn,345511344,9.78E+12,12/4/11,by Drew Karpyshyn,THE OLD REPUBLIC: REVAN,1
Tom Doherty Associates,Brandon Sanderson,1429994894,9.78E+12,11/27/11,by Brandon Sanderson,THE ALLOY OF LAW,1
St. Martin’s Press,Sherrilyn Kenyon,None,9.78E+12,11/20/11,by Sherrilyn Kenyon,THE GUARDIAN,1
Harlequin,Susan Mallery,1426834101,9.78E+12,11/20/11,by Susan Mallery,ONLY US,1
Simon & Schuster,Richard Paul Evans,1451628005,9.78E+12,11/20/11,by Richard Paul Evans,LOST DECEMBER,1
Center Street,Ted Dekker,1599952602,9.78E+12,11/13/11,by Ted Dekker,BONEMAN'S DAUGHTERS,1
Threshold Editions,Glenn Beck,1439187207,9.78E+12,11/13/11,by Glenn Beck,THE SNOW ANGEL,1
HarperCollins Publishers,Guillermo del Toro and Chuck Hogan,62066048,9.78E+12,11/13/11,by Guillermo del Toro and Chuck Hogan,THE NIGHT ETERNAL,1
Tyndale House,Joel C Rosenberg,1414365365,9.78E+12,11/6/11,by Joel C. Rosenberg,THE TEHRAN INITIATIVE,1
Paragon Press,Douglas E Richards,None,9.78E+12,11/6/11,by Douglas E. Richards,WIRED,1
Knopf Doubleday Publishing,Julian Barnes,307957330,9.78E+12,11/6/11,by Julian Barnes,THE SENSE OF AN ENDING,1
Simon & Schuster,Philippa Gregory,141656392X,9.78E+12,11/6/11,by Philippa Gregory,THE LADY OF THE RIVERS,1
HarperCollins Publishers,Terry Pratchett,62011847,9.78E+12,10/30/11,by Terry Pratchett,SNUFF,1
Atria,"James Wesley, Rawles",1439172803,9.78E+12,10/23/11,"by James Wesley, Rawles",SURVIVORS,1
Simon & Schuster,James Lee Burke,1451643144,9.78E+12,10/16/11,by James Lee Burke,FEAST DAY OF FOOLS,1
HQN,Susan Mallery,None,9.78E+12,10/16/11,by Susan Mallery,ONLY HIS,1
HQN,Gena Showalter,None,9.78E+12,10/16/11,by Gena Showalter,THE DARKEST SURRENDER,1
HarperCollins,Stephanie Laurens,None,9.78E+12,10/16/11,by Stephanie Laurens,IN PURSUIT OF ELIZA CYNSTER,1
Penguin Group,Stuart Woods,None,9.78E+12,10/9/11,by Stuart Woods,SON OF STONE,1
Thorndike,Fern Michaels,None,9.78E+12,10/9/11,by Fern Michaels,LISTEN TO YOUR HEART,1
HarperCollins,Neal Stephenson,61977969,9.78E+12,10/9/11,by Neal Stephenson,REAMDE,1
Center Street,Karen Kingsbury,1599951193,9.78E+12,10/2/11,by Karen Kingsbury,A THOUSAND TOMORROWS,1
Penguin Group,Michael Brandman,399157840,9.78E+12,10/2/11,by Michael Brandman,ROBERT B. PARKER’S KILLING THE BLUES,1
St. Martin's,Jackie Collins,1429962232,9.78E+12,10/2/11,by Jackie Collins,GODDESS OF VENGEANCE,1
Penguin Group,Barbara Freethy,None,2.94E+12,10/2/11,by Barbara Freethy,SILENT RUN,1
Berkley,Christine Feehan,None,9.78E+12,9/25/11,by Christine Feehan,DARK PREDATOR,1
Penguin Group,JR Ward,None,9.78E+12,9/25/11,by J.R. Ward,ENVY,1
Random House,Linda Howard,345526295,9.78E+12,9/25/11,by Linda Howard,PREY,1
Penguin Group,Jayne Castle,None,9.78E+12,9/18/11,by Jayne Castle,CANYONS OF NIGHT,1
Harlequin,Susan Mallery,None,9.78E+12,9/18/11,by Susan Mallery,ONLY YOURS,1
HarperCollins,Jeaniene Frost,None,9.78E+12,9/18/11,by Jeaniene Frost,ONE GRAVE AT A TIME,1
HarperCollins,Stephanie Laurens,None,9.78E+12,9/18/11,by Stephanie Laurens,VISCOUNT BRECKENRIDGE TO THE RESCUE,1
HarperCollins,Johanna Lindsey,NA,9.78E+12,9/11/11,by Johanna Lindsey,HEARTS AFLAME,1
Doherty,Terry Goodkind,765327724,9.78E+12,9/4/11,by Terry Goodkind,THE OMEN MACHINE,1
Putnam,W E B Griffin and William E Butterworth IV,None,9.78E+12,8/28/11,by W. E. B. Griffin and William E. Butterworth IV,VICTORY AND HONOR,1
St. Martin’s,Sherrilyn Kenyon,None,9.78E+12,8/21/11,by Sherrilyn Kenyon,RETRIBUTION,1
St. Martin's,Iris Johansen,None,9.78E+12,7/31/11,by Iris Johansen,QUINN,1
Random House,Lara Adrian,044033991X,9.78E+12,7/17/11,by Lara Adrian,DEEPER THAN MIDNIGHT,1
Harlequin,Lori Foster,None,9.78E+12,7/17/11,by Lori Foster,SAVOR THE DANGER,1
Zondervan,Karen Kingsbury,031042755X,9.78E+12,7/10/11,by Karen Kingsbury,LEARNING,1
Random House,Karin Slaughter,345528220,9.78E+12,7/10/11,by Karin Slaughter,FALLEN,1
HarperCollins,Dorothea Benton Frank,61961272,9.78E+12,7/3/11,by Dorothea Benton Frank,FOLLY BEACH,1
Random House,Ann Brashares,679605096,9.78E+12,7/3/11,by Ann Brashares,SISTERHOOD EVERLASTING,1
Penguin Group,Laurell K Hamilton,425241130,9.78E+12,6/26/11,by Laurell K. Hamilton,HIT LIST,1
St. Martin's,Mary Kay Andrews,None,9.78E+12,6/26/11,by Mary Kay Andrews,SUMMER RENTAL,1
HarperCollins,Julia Quinn,62079530,9.78E+12,6/19/11,by Julia Quinn,JUST LIKE HEAVEN,1
Harlequin,Linda Lael Miller,373775806,9.78E+12,6/19/11,by Linda Lael Miller,CREED'S HONOR,1
Mira,Sherryl Woods,None,9.78E+12,6/19/11,by Sherryl Woods,BEACH LANE,1
Penguin Group,Ilona Andrews,None,9.78E+12,6/19/11,by Ilona Andrews,MAGIC SLAYS,1
Random House,Dean Koontz,553593684,9.78E+12,6/12/11,by Dean Koontz,FRANKENSTEIN: THE DEAD TOWN,1
Random House,Aaron Allston,345509102,9.78E+12,6/12/11,by Aaron Allston,CONVICTION,1
Grand Central,David Baldacci,1455504394,9.78E+12,5/22/11,by David Baldacci,NO TIME LEFT,1
Penguin Group,Christine Feehan,515149330,9.78E+12,5/15/11,by Christine Feehan,SAVAGE NATURE,1
Penguin Group,Stuart Woods,None,9.78E+12,5/15/11,by Stuart Woods,BEL-AIR DEAD,1
Harlequin,Sherryl Woods,778329798,9.78E+12,5/15/11,by Sherryl Woods,MOONLIGHT COVE,1
