publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Howard Books,Allison Pataki,None,9.78E+12,3/8/15,by Allison Pataki,THE ACCIDENTAL EMPRESS,0
Morrow/HarperCollins,James Rollins and Rebecca Cantrell,62343289,9.78E+12,3/1/15,by James Rollins and Rebecca Cantrell,BLOOD INFERNAL,0
NAL,Samantha Young,None,9.78E+12,2/22/15,by Samantha Young,HERO,0
Morrow,Neil Gaiman,62330268,9.78E+12,2/22/15,by Neil Gaiman,TRIGGER WARNING,0
J.S. Cooper,J���S Cooper and Helen Cooper,1940218330,9.78E+12,2/15/15,by J.���S. Cooper and Helen Cooper,ONE NIGHT STAND,0
Bantam,Dean Koontz,None,9.78E+12,2/15/15,by Dean Koontz,SAINT ODD,0
"Little, Brown",Michael Connelly,316225924,9.78E+12,2/8/15,by Michael Connelly,THE BURNING ROOM,0
Story Ink,Elle James,None,A00B00PKTN7SI,2/8/15,by Elle James,COWBOY 12 PACK,0
Random House,Rachel Joyce,067964511X,9.78E+12,2/8/15,by Rachel Joyce,THE UNLIKELY PILGRIMAGE OF HAROLD FRY,0
Morrow/HarperCollins,Dorothea Benton Frank,62132458,9.78E+12,2/1/15,by Dorothea Benton Frank,THE LAST ORIGINAL WIFE,0
WGW,Whitney Gracia Williams,990317072,9.78E+12,2/1/15,by Whitney Gracia Williams,REASONABLE DOUBT FULL SERIES,0
Putnam,Stuart Woods,NA,9.78E+12,2/1/15,by Stuart Woods,INSATIABLE APPETITES,0
Delacorte,Alan Bradley,345539958,9.78E+12,1/25/15,by Alan Bradley,AS CHIMNEY SWEEPERS COME TO DUST,0
Harper,Bernard Cornwell,62250744,9.78E+12,1/25/15,by Bernard Cornwell,THE EMPTY THRONE,0
Deborah Bladon,Deborah Bladon,None,9.78E+12,1/18/15,by Deborah Bladon,GONE - PART THREE,0
Berkley,Sylvia Day,None,9.78E+12,1/18/15,by Sylvia Day,CAPTIVATED BY YOU,0
Deborah Bladon,Deborah Bladon,None,9.78E+12,1/18/15,by Deborah Bladon,GONE - PART TWO,0
Putnam,Jack Higgins,None,9.78E+12,1/18/15,by Jack Higgins,RAIN ON THE DEAD,0
Broadway,Gillian Flynn,307341550,9.78E+12,1/11/15,by Gillian Flynn,SHARP OBJECTS,0
Dutton,Ken Follett,525953094,9.78E+12,1/4/15,by Ken Follett,EDGE OF ETERNITY,0
Golden Unicorn Enterprises,J S Scott and others,None,9.78E+12,12/21/14,by J. S. Scott and others,NAUGHTY & NICE,0
